symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
RACE,M15,ok,equity,bars,15771,21,31145,200,0.6295622452800088,1.7345494778550232,6.332551282485585,1.2765450327077519,3.0339534443558,0.9687801245332608,14,8.4,0.4,3.0,2.5,0.009644937656345462
RACE,M30,ok,equity,bars,8943,16,16595,200,2.4917975212992305,1.6907937833702267,4.7246508055040035,0.8824148622269522,1.2267760883353345,1.1944389504338022,8,8.4,0.4,3.0,2.5,0.011416236813334814
SOLUSD,H1,ok,crypto,bars,3755,19,6947,200,0.2597075935872735,2.28421719611743,5.935710480035324,1.0660688600812898,1.5743910022716612,0.6224312707054196,36,37.5,6.5,15.0,8.0,0.025402396765495067
SOLUSD,H4,ok,crypto,bars,1099,20,1907,200,2708.536106527455,1.2066798021561596,9.787092394351909,1.6177257997138947,4.7882462954746625,2.289654700855298,31,37.5,6.5,15.0,8.0,0.028046855875577918
SOLUSD,M1,ok,crypto,bars,51093,36,100069,200,-0.9129011599356259,2.997610066361753,9.158310252579732,1.9646425098111995,2.434497043669313,2.181944933600766,47,37.5,6.5,15.0,8.0,0.005016908409400787
SOLUSD,M15,ok,crypto,bars,14174,18,27199,200,-0.16070393682824202,2.884592747353262,3.8064730578828616,1.5148817887329606,2.6028252259605718,2.2519796251108914,28,37.5,6.5,15.0,8.0,0.007828074844639196
SOLUSD,M30,ok,crypto,bars,7268,13,13697,200,0.21206327416463353,2.4326904798008044,6.3292544032071225,1.3285488145843403,4.535237726382628,2.1314188764310393,43,37.5,6.5,15.0,8.0,0.021132015194830763
TSLA,H1,ok,equity,bars,6321,35,11735,200,4.159267817863578,0.5013824390836527,7.7254173099220855,0.906537081993479,1.1699059628942161,1.2275763094257948,13,8.4,0.4,3.0,2.5,0.0067724360181571144
TSLA,H4,ok,equity,bars,1938,40,3452,200,2763.8639524960845,0.8370029232857014,5.56919908895398,1.0360466058671585,2.686514166996342,0.3362053252308361,13,8.4,0.4,3.0,2.5,0.024995590119259285
TSLA,M1,ok,equity,bars,53064,36,100179,200,-0.18072598016330607,2.4035662468138597,3.673917108273131,1.1050459219643964,2.3715899080256135,1.3214720885322937,31,8.4,0.4,3.0,2.5,0.005013224470224492
TSLA,M15,ok,equity,bars,16989,23,32874,200,1.7238341939783757,1.7301730301771383,7.984331507170262,0.40965954573059676,3.503399328996355,0.735351812095543,9,8.4,0.4,3.0,2.5,0.007952601746274655
TSLA,M30,ok,equity,bars,9980,19,18408,200,3.55781097988126,0.9145805391701647,6.203490611914221,0.33768965600152223,1.993627635203529,0.7592963882629948,10,8.4,0.4,3.0,2.5,0.005596788558515613
UKOIL.cash,H1,ok,commodity,bars,14716,88,27577,200,0.2680397446187263,1.9592268408246512,3.872749467280484,1.0976012428787514,1.1845196284615858,0.32406454445848165,31,10.0,0.0,4.0,3.0,0.0246516008125592
UKOIL.cash,H4,ok,commodity,bars,4393,95,7922,200,69.63342665700655,2.301729141019599,7.083337520656179,0.3219985524007453,3.063653014802781,1.4259286361658552,33,10.0,0.0,4.0,3.0,0.009335575904352883
UKOIL.cash,M1,ok,commodity,bars,51632,36,100067,200,-0.8052607556528394,2.493826861970731,5.7520459874504315,1.3464220462023753,1.9053398131171104,1.9684161919015224,28,10.0,0.0,4.0,3.0,0.005004801224406994
UKOIL.cash,M15,ok,commodity,bars,50225,75,95783,200,0.0010700400114184536,2.487432168287026,4.136382739100814,1.4520233270829097,3.0467609072703783,0.5999586889085593,21,10.0,0.0,4.0,3.0,0.007937681371743081
UKOIL.cash,M30,ok,commodity,bars,26628,59,50309,200,0.053649915183207504,1.3657621023499313,7.326764173785211,1.4949785081864646,3.6667561071893666,0.47557016852499956,17,10.0,0.0,4.0,3.0,0.007749547365247407
UNIUSD,H1,ok,crypto,bars,19907,125,38778,200,0.5589059808446393,2.669543999818153,7.585387108852146,1.0815725627348423,4.794626509846769,1.0430882291907164,46,37.5,6.5,15.0,8.0,0.020548032018714198
UNIUSD,H4,ok,crypto,bars,5199,121,10001,200,658.1206120545405,2.1806319751137644,3.214336724296226,1.2553535733452819,1.6316793942923873,0.6013852671028331,45,37.5,6.5,15.0,8.0,0.026275221829169224
UNIUSD,M1,ok,crypto,bars,51319,36,100069,200,-0.6303113459506222,2.9110427277528386,8.882276089574182,1.945817599390179,4.197185189582989,2.2841706336102656,40,37.5,6.5,15.0,8.0,0.005045247898343643
UNIUSD,M15,ok,crypto,bars,51096,80,100994,200,-0.08062572937983559,1.99118479280043,7.83511166788762,1.5552894260325358,4.5062429731203295,0.5184553380889021,36,37.5,6.5,15.0,8.0,0.005956069311656757
UNIUSD,M30,ok,crypto,bars,39421,92,77184,200,0.01722355344731982,2.27642404249578,7.336737601935194,1.8565302605902494,4.993154206237142,1.753941600003122,38,37.5,6.5,15.0,8.0,0.011616490824094477
US30.cash,H1,ok,index,bars,21044,133,40933,200,0.07199592374306338,1.8559689645139228,4.3473519663617815,1.307247950265915,2.3773087210978816,0.6300294186365093,27,5.0,0.0,2.0,1.5,0.019053340425296748
US30.cash,H4,ok,index,bars,5997,133,10897,200,1323.6681658922628,0.8156292509842884,7.997000237705475,1.273370302261188,3.8698973360923397,1.5802375525423136,34,5.0,0.0,2.0,1.5,0.029542705899058656
