symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
MANUSD,ok,crypto,crypto,H4,1.33,6.63,5.0,1.18,3.74,1.06,17,2.46,34.4,11.9,-36635.08,56866.21,56.87,-1.76,-0.64,0.73,-0.76,26.6,124,9.2,18,6.1424,3.2631,35.5,1.6,32.3,16.1,14.5,false,true,22,102
COFFEE.c,ok,commodity,agri,H4,1.31,7.81,6.0,1.31,3.88,1.36,33,2.57,14.7,8.7,-96076.73,145038.56,145.04,-2.93,-0.66,0.67,-0.2172,18.7,193,5.5,20,4.4725,1.2925,48.7,2.1,32.6,16.1,0.5,false,true,27,166
SANUSD,ok,crypto,crypto,M30,2.02,9.52,4.7,1.92,4.0,0.5,45,0.9,33.7,11.2,-91563.42,134285.83,134.29,-3.17,-0.68,0.76,-0.1417,22.8,668,12.6,13,3.6559,1.2604,37.3,2.8,38.8,13.5,7.6,false,true,242,426
NZD_JPY,ok,forex,forex,H4,0.81,6.0,7.4,1.26,2.51,1.54,28,2.6,5.0,1.5,-89049.37,130081.1,130.08,-1.3,-0.68,0.82,-0.0344,28.0,307,6.7,35,0.8542,0.3802,47.2,3.6,22.5,23.1,3.6,false,true,29,278
XLMUSD,ok,crypto,crypto,H1,1.56,7.02,4.5,0.74,3.43,2.4,46,1.84,25.7,3.2,-55408.94,80279.48,80.28,-1.52,-0.69,0.85,-0.1269,22.4,437,10.3,19,3.549,1.1895,30.2,2.5,44.2,12.1,11.0,false,true,93,344
BARUSD,ok,crypto,crypto,M30,2.89,9.31,3.2,1.38,3.29,1.25,32,0.89,27.5,5.0,-108400.11,155087.35,155.09,-3.22,-0.7,0.72,-0.2919,24.2,649,13.4,13,2.9294,1.3198,42.5,1.4,32.2,14.8,9.1,false,true,244,405
COCOA.c,ok,commodity,agri,H4,1.69,7.51,4.5,1.43,2.79,0.62,36,1.82,25.3,19.3,-39045.69,54982.31,54.98,-1.68,-0.71,0.82,-0.2054,31.0,203,4.9,20,4.4165,2.2852,48.8,1.0,19.7,30.0,0.5,false,true,30,173
GRTUSD,ok,crypto,crypto,H4,1.28,7.43,5.8,1.62,4.84,1.91,13,0.78,27.4,4.9,-9310.54,12723.49,12.72,-1.74,-0.73,0.76,-0.1756,37.9,132,8.0,18,4.5005,3.027,29.5,3.0,18.9,18.9,29.5,false,true,25,107
GBP_JPY,ok,forex,forex,H4,0.53,7.09,13.5,0.6,3.57,0.92,20,2.78,4.5,1.0,-72201.98,96509.26,96.51,-1.01,-0.75,0.84,-0.0343,23.6,348,5.3,35,0.6606,0.2485,35.1,0.6,39.9,19.0,5.5,false,true,29,319
AUD_USD,ok,forex,forex,H4,1.9,7.32,3.8,0.61,3.2,1.07,36,1.98,4.1,0.6,-99231.07,131074.34,131.07,-1.96,-0.76,0.74,0.0007,21.4,308,7.0,35,1.018,0.2768,48.1,0.3,29.9,16.6,5.2,false,true,22,286
SOLUSD,ok,crypto,crypto,H4,2.1,6.74,3.2,1.57,3.26,2.28,21,2.55,24.3,1.8,-90212.32,118988.18,118.99,-2.58,-0.76,0.63,-0.3971,12.5,136,8.2,18,9.638,1.8306,54.4,2.9,33.1,6.6,2.9,false,true,24,112
VECUSD,ok,crypto,crypto,H4,0.92,4.56,4.9,1.56,4.84,1.05,16,1.71,31.4,8.9,-25597.13,33665.4,33.67,-1.67,-0.76,0.74,-0.6822,29.4,119,9.4,18,5.1304,3.1042,37.8,2.5,25.2,11.8,22.7,false,true,25,94
UK100.cash,ok,index,eu_idx,H4,1.14,7.45,6.6,0.37,3.49,0.67,28,2.04,4.3,1.3,-70329.02,90784.69,90.78,-2.0,-0.77,0.74,-0.034,27.6,272,7.2,34,0.9052,0.3916,41.9,0.7,29.4,24.6,3.3,false,true,26,246
GBP_USD,ok,forex,forex,H4,0.78,3.75,4.8,0.74,2.37,1.63,12,1.79,4.0,0.5,-65102.58,78082.43,78.08,-1.52,-0.83,0.82,-0.0344,30.9,337,5.4,35,0.4528,0.2519,46.3,0.6,22.3,27.6,3.3,false,true,19,318
GALUSD,ok,crypto,crypto,H4,1.21,9.79,8.1,1.62,4.79,2.29,31,2.8,31.3,8.8,-58069.54,68283.84,68.28,-3.15,-0.85,0.57,-0.8944,23.4,107,9.3,18,6.1382,3.0385,41.1,4.7,31.8,9.3,13.1,false,true,22,85
AUD_JPY,ok,forex,forex,H4,0.56,7.79,13.9,1.21,3.94,0.68,20,1.23,4.7,1.2,-60767.72,67057.92,67.06,-1.46,-0.91,0.79,-0.0162,13.4,366,5.0,35,1.3428,0.2263,45.6,3.8,41.0,8.7,0.8,false,true,25,341
USD_JPY,ok,forex,forex,H4,0.54,4.93,9.1,0.33,1.33,0.39,21,1.49,4.0,0.5,-91447.42,97176.73,97.18,-2.25,-0.94,0.73,-0.0409,14.6,390,4.2,35,0.8141,0.1872,39.7,1.0,45.4,10.5,3.3,false,true,25,365
FETUSD,ok,crypto,crypto,H4,2.08,6.44,3.1,1.41,2.51,1.66,12,1.51,25.4,2.9,-69628.89,73101.64,73.1,-5.11,-0.95,0.46,-0.9462,25.0,140,7.8,18,6.417,3.4005,43.6,0.0,21.4,12.1,22.9,false,true,24,116
