symbol,status,error,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled,account_id
DASHUSD,ok,,0,H4,0.005731449446226622,121,4,8.652873627753756,0.5719897916677863,0.8090964062280962,0.00495105163672019,0.249248179469948,19.644130774622727,0.25850907859156186,0.9253776628406454,150,5453,cuda,crypto,0.005731449446226622,6.5,8.837825894830207,8.0,39,false,ftmo_100k
DASH_USD,ok,,0,H4,0.045600782495686505,525,7,0.16581589415011025,0.5789930079020855,0.5919156092172151,0.025936191267262734,0.002070271696251558,1.8617234493716828,0.2363368797646512,0.8679119780540069,150,532,cuda,index,0.045600782495686505,3.0,22.164758034725626,3.0,39,false,ftmo_100k
DBKGn,ok,,0,H4,0.0023051452139526136,862,9,0.001006215438646946,0.8068616767140349,0.7801533361803561,3.0122552291619646,0.0006385951889002157,13.622247119697052,0.01050406053380347,0.7423810555906576,150,2550,cuda,equity,0.0023051452139526136,0.4,9.948598905654498,2.5,39,false,ftmo_100k
DOGEUSD,ok,,0,H4,0.0007107488755890888,1185,7,0.014670741311281533,0.6829180956765144,0.5611776897224462,0.301124216879516,0.10018871633213046,12.163891033126284,0.24225120629238567,0.38876375397929774,150,4698,cuda,crypto,0.0007107488755890888,6.5,24.302410357246437,8.0,39,false,ftmo_100k
DOTUSD,ok,,0,H4,-0.0016235925248464576,1647,10,0.0479829698377366,0.7473763261933475,0.7969002130869476,43.139127656597424,23.536865009148258,21.402800196422167,0.185178410703681,0.8767446523638622,150,5037,cuda,crypto,-0.0016235925248464576,6.5,35.124692658938486,8.0,39,false,ftmo_100k
DOT_USD,ok,,0,H4,0.005960769420520648,1604,9,0.010624475080434896,0.7814974672051977,0.8354061456050618,0.01872181198588888,0.014845176297035217,0.33651615851164873,0.21505978570544015,0.3341425443031655,150,526,cuda,index,0.005960769420520648,3.0,9.38086303939859,3.0,39,false,ftmo_100k
DXY.cash,ok,,0,H4,-0.000599344860054708,153,7,0.009515167525969185,0.843514543252993,0.4265581121599179,0.0005631672310233204,0.000013266690750577916,0.7848415951563935,0.07773402218480278,0.7250727321775673,150,940,cuda,forex,-0.000599344860054708,0.13999999999999999,2.6892832064225085,3.0,39,false,ftmo_100k
ETCUSD,ok,,0,H4,0.0039635378226140884,1949,7,0.9711153351879086,0.7343193824214189,0.7313325915547174,0.008215275860755034,0.0023779309749685095,27.844653845876202,0.16724606994923608,0.7611240814997051,150,8875,cuda,crypto,0.0039635378226140884,6.5,4.044307637001074,8.0,39,false,ftmo_100k
ETHUSD,ok,,0,H4,-0.00031487974775582997,1151,4,8.02599631977861,0.9326529007570566,0.8731775237803001,4.2238614231471105,17.37008676348767,93.30551176404964,0.23578178575863112,0.6851917966973222,150,8816,cuda,crypto,-0.00031487974775582997,6.5,12.053149952453909,8.0,39,false,ftmo_100k
ETH_USD,ok,,0,H4,0.006888821065042395,104,9,0.34870859074973937,0.681202009082269,0.3129509092372023,0.000013329360347304356,0.6983166763773144,0.7432883799149628,0.27228335883571214,0.8113509623703118,150,542,cuda,index,0.006888821065042395,3.0,3.1695000274447054,3.0,39,false,ftmo_100k
EU50.cash,ok,,0,H4,0.001508000577175298,1446,7,0.019123995088419898,0.43682224392179286,0.5346091786477807,0.000010167788699865445,0.06723606753977707,2.0442340843908884,0.22699674554420635,0.9340732681240986,150,3854,cuda,index,0.001508000577175298,0.0,3.0547836808300444,1.5,39,false,ftmo_100k
EURAUD,ok,,0,H4,-0.00048015512766878154,845,2,0.240001361449467,0.8571980194607758,0.5791346732322844,0.0002034243472137097,0.15959625484607284,30.480860563185875,0.06281497133945949,0.6370471152128673,150,16640,cuda,forex,-0.00048015512766878154,3.0,0.9579812517421533,3.0,39,false,ftmo_100k
EURCAD,ok,,0,H4,-0.0005455854502063104,518,2,0.010998448425504228,0.8997553330933945,0.5918775096592359,11.049977476094838,0.0002512500455248448,9.294488543906942,0.09360747724007698,0.6257251360222322,150,15784,cuda,forex,-0.0005455854502063104,3.0,1.0185754204176465,3.0,39,false,ftmo_100k
EURCHF,ok,,0,H4,-0.0007038667383807483,1811,3,0.05357935144782489,0.6210662620376517,0.6302591711003594,0.10586601298430584,18.19402386035414,11.576102944340883,0.03355574169115972,0.3832623950095313,150,16088,cuda,forex,-0.0007038667383807483,3.0,0.9615641443406445,3.0,39,false,ftmo_100k
EURGBP,ok,,0,H4,-0.0005558613094836978,1438,8,0.0013656769982247916,0.5628435548147547,0.719842581620165,0.000452237074563409,0.00008975324774287967,25.612878201510203,0.14011474103460891,0.7431847431947933,150,16731,cuda,forex,-0.0005558613094836978,3.0,0.8194274543317217,3.0,39,false,ftmo_100k
EURJPY,ok,,0,H4,-0.0004551054642591754,1727,7,0.2290487528056814,0.8624358715392985,0.8910068792816532,0.001237150407443003,0.000033538884599593876,9.698877508019335,0.005618090746630439,0.5607227687651506,150,16803,cuda,forex,-0.0004551054642591754,3.0,0.8454106280199278,3.0,39,false,ftmo_100k
EURNZD,ok,,0,H4,-0.0004875866109973232,1027,2,0.0015047482150153443,0.5872372203640125,0.7753672968217598,0.01240112972889996,16.97925363227462,36.10410333722132,0.2309540575923661,0.590294000765937,150,15380,cuda,forex,-0.0004875866109973232,3.0,1.1956989002406853,3.0,39,false,ftmo_100k
EURUSD,error,"An exception is raised during the commit. This typically happens due to invalid data in the commit, e.g. exceeding max length. ",,,,,,,,,,,,,,,,,,,,,,,,ftmo_100k
EUR_AUD,ok,,0,H4,0.00015252993139014566,795,6,0.0615376148707584,0.906217359307014,0.44782884677443896,0.029844961787622942,0.002244651669393766,5.3531184106141545,0.16552328385762216,0.3710986843182664,150,16640,cuda,forex,0.00015252993139014566,0.5,0.9579812517421533,1.5,39,false,ftmo_100k
EUR_CAD,ok,,0,H4,4.414549793689893e-7,266,4,0.021476091849367624,0.8423464352110781,0.5023209155306756,2.6792732870790896,0.000037428629459176244,1.8275207510075493,0.04792680222509574,0.4656364866991564,150,15784,cuda,forex,4.414549793689893e-7,0.5,1.0185754204176465,1.5,39,false,ftmo_100k
EUR_CHF,ok,,0,H4,-0.0001538667383807482,1773,7,0.07830498553231395,0.7221158274252355,0.45563965450096994,8.929690063035746,0.7143038833692843,20.439660924528607,0.014660222234868974,0.7406215796719374,150,16088,cuda,forex,-0.0001538667383807482,0.5,0.9615641443406445,1.5,39,false,ftmo_100k
EUR_CZK,ok,,0,H4,-0.001143155439838252,466,7,0.26353585941964536,0.8262691239233708,0.6021595852837391,0.4570092612400855,0.000048648542093312987,1.0198863616732867,0.05468839813468886,0.8912607807706647,150,1531,cuda,forex,-0.001143155439838252,0.5,6.7157517137455285,3.0,39,false,ftmo_100k
EUR_GBP,ok,,0,H4,-5.861309483697665e-6,1715,2,0.0014033297558174568,0.5483968217426151,0.6777269882876904,0.000013409544349273243,0.014141364145887413,27.364287765905235,0.13413839734637145,0.846467020884959,150,16731,cuda,forex,-5.861309483697665e-6,0.5,0.8194274543317217,1.5,39,false,ftmo_100k
EUR_HUF,ok,,0,H4,-0.00090384097694963,549,4,0.011886527011234396,0.879775452152064,0.7302540976898733,11.442898221417188,11.872380885262782,7.486063258994197,0.009478098180643074,0.9273486704933713,150,1642,cuda,forex,-0.00090384097694963,0.5,5.594317434178712,3.0,39,false,ftmo_100k
EUR_JPY,ok,,0,H4,0.00011033738485629279,1363,7,0.03630801211632766,0.9361580072238194,0.4310837480808121,0.00012746705021358929,0.00001372546155932278,6.270641743320575,0.017692993168762196,0.49434956521728857,150,16803,cuda,forex,0.00011033738485629279,0.5,0.8454106280199278,1.5,39,false,ftmo_100k
EUR_NOK,ok,,0,H4,-0.0007505413417258763,492,6,1.0251093543120704,0.7496741548777479,0.8457843639615118,0.00001216190931486767,0.006060851155621397,1.9465656682511534,0.01784147109540168,0.36094913237379933,150,1629,cuda,forex,-0.0007505413417258763,0.5,4.650963963578944,3.0,39,false,ftmo_100k
EUR_NZD,ok,,0,H4,0.00008100145718469104,875,4,0.054612732294946446,0.5578910806266935,0.7517332748210939,8.862683225839195,6.063528527750355,1.155296522151323,0.029500059374022464,0.6910581855394738,150,15380,cuda,forex,0.00008100145718469104,0.5,1.1953988013416124,1.5,39,false,ftmo_100k
EUR_PLN,error,"An exception is raised during the commit. This typically happens due to invalid data in the commit, e.g. exceeding max length. ",,,,,,,,,,,,,,,,,,,,,,,,ftmo_100k
EUR_USD,ok,,0,H4,0.00018197206412733297,1743,5,0.014264341799644113,0.9206589599231315,0.45839607350000755,0.002758264602085945,0.023887969679122118,8.838570391358548,0.25428511271209725,0.7036455178584173,150,16720,cuda,forex,0.00018197206412733297,0.5,0.27423682177782693,1.5,39,false,ftmo_100k
FETUSD,ok,,0,H4,0.023563563134992624,542,7,0.1226040218642218,0.8886168438914791,0.639700120478214,0.0017814395032884366,0.7959294936484876,1.6661681274501157,0.2767257384344864,0.6986624066498779,150,1988,cuda,crypto,0.023563563134992624,6.5,2.919281856662939,8.0,39,false,ftmo_100k
FRA40.cash,ok,,0,H4,0.0018887481463881653,1128,9,0.004095258935271212,0.9365955821823712,0.6019867853069507,0.00009170105476152377,0.00002393682443743548,0.742380188748399,0.2551986902462655,0.36141539493418956,150,3888,cuda,index,0.0018887481463881653,0.0,1.9939994240929284,1.5,39,false,ftmo_100k
GALUSD,ok,,0,H4,0.003539546309282004,1124,4,6.7743970374695115,0.884841346916954,0.3289847720495587,2.307828593711164,0.004352363943193642,49.88008481150578,0.2081784035945077,0.8298733985910434,150,4834,cuda,crypto,0.003539546309282004,6.5,8.830022075054828,8.0,39,false,ftmo_100k
GBPAUD,ok,,0,H4,-0.00046431703975863644,1719,8,1.6448361717999653,0.7743710668656418,0.7450458183741354,2.0677302422011072,0.004581623895000854,1.1241409173651562,0.09662827747169898,0.6203327510190291,150,15218,cuda,forex,-0.00046431703975863644,3.0,1.122079848176403,3.0,39,false,ftmo_100k
GBPCAD,ok,,0,H4,-0.0005008519191541728,1841,6,0.40236473568084086,0.5350073843958714,0.8475668468021387,5.79305883644028,0.0001133708600621914,1.4426151060829366,0.13013297430742277,0.8845139293847353,150,15378,cuda,forex,-0.0005008519191541728,3.0,0.9565581910922121,3.0,39,false,ftmo_100k
GBPCHF,ok,,0,H4,-0.0005483650991298581,1959,6,0.7845531494221089,0.6590964763731467,0.6564057853669725,0.0011838192843021751,0.0005681435428725929,14.107543439892797,0.01843626512711483,0.4916210144887483,150,16587,cuda,forex,-0.0005483650991298581,3.0,1.262637650051218,3.0,39,false,ftmo_100k
GBPJPY,ok,,0,H4,-0.00039233847112797485,1101,6,0.1712694909671412,0.7542328011773245,0.6501248173181718,0.2119939175875482,0.043019167351204084,13.374279612267786,0.03733962180455373,0.6163046860338902,150,16751,cuda,forex,-0.00039233847112797485,3.0,0.9534908358936691,3.0,39,false,ftmo_100k
GBPNZD,ok,,0,H4,-0.000472498085640674,377,4,0.009530464661825654,0.8769897678656511,0.5668101091448389,0.00007216406795076456,8.274263213138106,32.397695759021246,0.20942841737861773,0.601915394465123,150,12564,cuda,forex,-0.000472498085640674,3.0,1.0222562974309384,3.0,39,false,ftmo_100k
GBPUSD,ok,,0,H4,-0.0004596223513271631,563,4,0.03988208722342847,0.7712607495532706,0.6706934210523646,0.0004045843826073225,0.0023284312606371206,17.890489945618064,0.01205581040532441,0.8326034503854389,150,17146,cuda,forex,-0.0004596223513271631,3.0,0.5306749047629171,3.0,39,false,ftmo_100k
GBP_AUD,ok,,0,H4,0.00012966796784984595,322,5,0.11742442230987243,0.650484742754348,0.6742235237758788,0.002521574613987101,0.008672472174802862,6.183886278000863,0.0450887516322348,0.662416757761279,150,15218,cuda,forex,0.00012966796784984595,0.5,1.122079848176403,1.5,39,false,ftmo_100k
GBP_CAD,ok,,0,H4,0.00014445219811202087,1705,8,0.004925230708950082,0.781437280980408,0.5039452405233926,0.0023318566308213086,0.24072424031276352,1.3343818738965765,0.2723776453727044,0.7314545750027641,150,15378,cuda,forex,0.00014445219811202087,0.5,0.9565581910922121,1.5,39,false,ftmo_100k
GBP_CHF,ok,,0,H4,1.6349008701420076e-7,524,3,0.001601850920442047,0.9171310220813554,0.675773650157478,1.7745224554296826,1.219914356974565,1.948788895984302,0.008347864208637475,0.6620570044093157,150,16587,cuda,forex,1.6349008701420076e-7,0.5,1.262637650051218,1.5,39,false,ftmo_100k
GBP_JPY,ok,,0,H4,0.00033318288903046113,1485,3,0.0016647112046865818,0.6566150831643738,0.6941996457504652,0.0004139917687277421,0.00036302147796769124,6.482923999177622,0.11516671287193084,0.6883927843992982,150,16751,cuda,forex,0.00033318288903046113,0.5,0.9534908358936691,1.5,39,false,ftmo_100k
GBP_NZD,ok,,0,H4,0.0003226858935060594,173,6,1.6520047686320125,0.6132885034208655,0.5966093653281873,0.0008039592167732914,1.196091139213968,2.1359727037975196,0.1903458365542825,0.92306799712646,150,12564,cuda,forex,0.0003226858935060594,0.5,1.0222562974309384,1.5,39,false,ftmo_100k
