symbol,timeframe,year,thread,train_years,n_obs,n_trades,win_rate,sharpe,sortino,max_drawdown_pct,profit_factor,device,spread_bps,slippage_bps,total_cost_bps
TSLA,M30,2026,1,2024-2025,387,81,0.5555555555555556,3.660906318083407,8.472396750201698,-0.11251709261303633,1.6722215363420039,cuda,5.459654757124338,5.0,13.459654757124337
TSLA,M5,2026,1,2024-2025,2511,378,0.46296296296296297,-3.1354674959006665,-6.358299491256887,-0.48400529041858,0.6371848160351923,cuda,5.459654757124338,5.0,13.459654757124337
UKOIL.cash,H1,2026,1,2024-2025,708,158,0.46835443037974683,-2.8011988947738446,-7.085561248695092,-0.26410723920599655,0.6795043325398659,cuda,2.6754063273354323,4.0,9.675406327335432
UKOIL.cash,M1,2026,1,2024-2025,42744,29,0.3103448275862069,-2.0884469322911117,-3.844118476930826,-0.01373994873702522,0.7334289281061007,cuda,2.6754063273354323,4.0,9.675406327335432
UKOIL.cash,M15,2026,1,2024-2025,2987,386,0.47668393782383417,-2.3260267984669634,-4.928759018094663,-0.27118131522860334,0.7211717234500749,cuda,2.6754063273354323,4.0,9.675406327335432
UKOIL.cash,M30,2026,1,2024-2025,1494,275,0.5054545454545455,-0.6824348164952375,-1.6819268561377885,-0.164228008864286,0.908917035192945,cuda,2.6754063273354323,4.0,9.675406327335432
UKOIL.cash,M5,2026,1,2024-2025,8810,224,0.4419642857142857,-2.6914597155789606,-5.747293889069632,-0.17027953478684743,0.6850456346454974,cuda,2.6754063273354323,4.0,9.675406327335432
UK100.cash,H1,2026,1,2024-2025,760,162,0.4691358024691358,-2.8433864787819396,-6.567161935682563,-0.09439711193821954,0.6753609257150032,cuda,1.2533385058405841,4.0,8.253338505840585
UK100.cash,M1,2026,1,2024-2025,46930,3,0.0,-12.312846393586318,-12.312846393586318,-0.002402477725257035,0.0,cuda,1.2533385058405841,4.0,8.253338505840585
UK100.cash,M15,2026,1,2024-2025,3032,73,0.3698630136986301,-7.561242906006674,-20.503435030817247,-0.07238741076063226,0.3562783266125986,cuda,1.2533385058405841,4.0,8.253338505840585
UK100.cash,M30,2026,1,2024-2025,1516,98,0.4387755102040816,-5.659310641146325,-13.4070043692074,-0.09084416334649714,0.4538532826818208,cuda,1.2533385058405841,4.0,8.253338505840585
UK100.cash,M5,2026,1,2024-2025,9348,11,0.7272727272727273,-1.6920932890747493,-2.2937918494369534,-0.010620430205012577,0.7502069662051475,cuda,1.2533385058405841,4.0,8.253338505840585
US100.cash,H1,2026,1,2024-2025,772,170,0.4176470588235294,-2.5130150509601408,-6.690602548990324,-0.12201643331776779,0.6981578076658035,cuda,0.617091902983242,4.0,7.617091902983242
US100.cash,M1,2026,1,2024-2025,47565,38,0.4473684210526316,-2.8626036892458737,-4.984612091229595,-0.02309371919665859,0.6554196618138366,cuda,0.617091902983242,4.0,7.617091902983242
US100.cash,M15,2026,1,2024-2025,3152,190,0.4368421052631579,-2.8947745780212553,-6.049802827302613,-0.1319136753874206,0.6671390572348574,cuda,0.617091902983242,4.0,7.617091902983242
US100.cash,M30,2026,1,2024-2025,1594,244,0.39344262295081966,-5.2412444603232435,-9.859025670957692,-0.2992049503836397,0.4732217966585128,cuda,0.617091902983242,4.0,7.617091902983242
US100.cash,M5,2026,1,2024-2025,9552,139,0.35251798561151076,-5.615185385527322,-17.156120524498398,-0.15609139390362436,0.46373764541604284,cuda,0.617091902983242,4.0,7.617091902983242
US2000.cash,H1,2026,1,2024-2025,761,150,0.4533333333333333,-3.2757227766815125,-8.002673136884594,-0.19633057993738645,0.6288489682984911,cuda,4.292572719571975,4.0,11.292572719571975
US2000.cash,M1,2026,1,2024-2025,48111,11,0.45454545454545453,-1.5985426955648205,-2.5351116252919166,-0.005682146688420819,0.7827948760458574,cuda,4.292572719571975,4.0,11.292572719571975
US2000.cash,M15,2026,1,2024-2025,3171,106,0.29245283018867924,-8.66294602216557,-17.904954080982147,-0.2283452053904611,0.30800050138933127,cuda,4.292572719571975,4.0,11.292572719571975
US2000.cash,M30,2026,1,2024-2025,1614,128,0.3671875,-7.47773445803095,-13.287414577490054,-0.23774384971108886,0.3441914539233083,cuda,4.292572719571975,4.0,11.292572719571975
US2000.cash,M5,2026,1,2024-2025,9441,85,0.4117647058823529,-4.305372107245564,-11.55928626572361,-0.10766389459397219,0.5527531855380763,cuda,4.292572719571975,4.0,11.292572719571975
US30.cash,H1,2026,1,2024-2025,756,150,0.47333333333333333,-1.623488052550773,-4.26543928885976,-0.09111571049926759,0.7910026763074018,cuda,0.4632369971955916,4.0,7.463236997195592
US30.cash,M1,2026,1,2024-2025,47875,13,0.3076923076923077,-4.139783903510835,-5.245130026658915,-0.0031258837471519474,0.49753714526581494,cuda,0.4632369971955916,4.0,7.463236997195592
US30.cash,M15,2026,1,2024-2025,3157,129,0.4263565891472868,-4.918310925180183,-9.314438271581366,-0.13412770927388462,0.48881849829377044,cuda,0.4632369971955916,4.0,7.463236997195592
US30.cash,M30,2026,1,2024-2025,1603,137,0.46715328467153283,-3.9564419842914047,-6.872070690801608,-0.10763880984669072,0.5544785681710444,cuda,0.4632369971955916,4.0,7.463236997195592
